what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234800430
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1265234800437
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234806479
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234807055
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1265234807057
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234807714
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234809597
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234810781
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234848290
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234851756
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1265234854642
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1265234857490
started,bundle,org.eclipse.wst.html.core,1.1.204.v200901141603,org.eclipse.wst.html.core,1265234857668
started,bundle,org.eclipse.wst.css.core,1.1.201.v200808072008,org.eclipse.wst.css.core,1265234858579
started,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1265234860049
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1265234860273
started,bundle,org.eclipse.wst.dtd.ui,1.0.301.v200808072012,org.eclipse.wst.dtd.ui,1265234860742
opened,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1265234860876
activated,editor,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart,1265234861461
started,bundle,org.eclipse.jpt.core,2.0.102.v200901160200,org.eclipse.jpt.core,1265234861510
started,bundle,org.eclipse.jst.jsf.ui,1.1.102.v20090128,org.eclipse.jst.jsf.ui,1265234861589
started,bundle,org.eclipse.core.variables,3.2.100.v20080529-1300,org.eclipse.core.variables,1265234861674
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1265234870680
started,bundle,org.eclipse.jst.jsp.ui,1.1.312.v200901290909,org.eclipse.jst.jsp.ui,1265234870917
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.104.v200901282355,org.eclipse.wst.jsdt.web.ui,1265234871103
